voter_id,voter_age,voter_gender,candidate_id
175-417-572,75,Male,213-846
477-951-393,27,Male,151-426
708-619-493,77,Male,875-393
929-685-767,42,Female,151-426
587-613-254,25,Female,213-846
930-957-451,28,Male,213-846
353-824-548,74,Male,521-757
481-389-496,70,Female,151-426
153-908-746,60,Male,521-757
196-671-794,67,Female,521-757
841-972-772,37,Female,213-846
696-779-244,62,Female,875-393
232-709-825,28,Female,151-426
485-758-910,60,Male,151-426
195-761-786,72,Female,213-846
471-416-284,45,Female,875-393
296-331-240,37,Male,521-757
964-907-203,82,Male,521-757
997-884-732,34,Female,855-525
266-285-951,39,Female,213-846
520-473-792,48,Female,151-426
391-870-866,75,Male,151-426
344-416-928,78,Male,521-757
794-684-551,77,Female,875-393
614-640-528,38,Male,151-426
241-993-356,24,Female,521-757
667-205-828,84,Male,521-757
185-881-264,52,Female,151-426
250-950-547,29,Male,875-393
457-127-524,24,Female,151-426
482-341-495,28,Female,855-525
128-426-201,60,Male,855-525
139-393-949,78,Male,875-393
559-730-105,28,Male,521-757
320-955-253,88,Female,213-846
894-395-343,56,Male,213-846
344-529-754,76,Male,213-846
956-611-711,86,Male,151-426
688-347-835,36,Female,875-393
101-729-461,48,Female,855-525
780-784-187,85,Female,213-846
638-657-619,82,Male,875-393
994-581-144,67,Female,521-757
865-116-465,26,Female,855-525
850-772-743,31,Female,855-525
145-460-659,61,Male,875-393
812-590-746,41,Male,213-846
833-894-568,22,Female,855-525
144-910-304,23,Female,521-757
627-507-934,87,Female,521-757
137-871-762,42,Female,521-757
982-899-148,60,Female,213-846
918-476-547,69,Female,875-393
447-291-608,81,Female,151-426
373-920-184,72,Male,875-393
716-942-284,87,Female,521-757
205-181-435,55,Female,875-393
717-834-536,39,Female,521-757
557-143-844,63,Female,521-757
754-910-158,27,Female,521-757
625-920-867,38,Male,855-525
969-722-794,74,Male,855-525
168-341-897,64,Female,875-393
680-133-719,37,Female,521-757
480-554-881,27,Male,151-426
475-507-421,53,Male,213-846
126-853-290,81,Female,151-426
220-368-893,51,Female,855-525
726-392-810,80,Male,213-846
238-973-175,75,Male,875-393
189-929-798,58,Female,213-846
663-655-397,56,Male,855-525
912-470-620,46,Male,855-525
911-242-342,81,Male,521-757
667-686-477,77,Male,151-426
188-167-416,68,Female,151-426
520-887-519,27,Male,521-757
757-175-560,77,Female,855-525
999-948-898,88,Male,855-525
543-614-989,25,Male,151-426
256-411-268,38,Female,855-525
454-631-390,28,Female,855-525
750-664-381,34,Female,151-426
646-195-614,39,Male,855-525
774-739-837,61,Male,213-846
183-146-756,51,Male,151-426
526-732-754,21,Female,151-426
396-757-409,79,Male,875-393
404-564-174,25,Male,875-393
525-595-575,44,Female,151-426
247-420-982,58,Female,875-393
233-878-479,83,Male,521-757
347-577-225,52,Female,855-525
244-199-151,55,Female,151-426
528-354-986,38,Female,151-426
838-420-294,38,Female,151-426
578-610-415,81,Male,213-846
502-617-568,48,Male,151-426
461-149-151,54,Female,151-426
963-769-788,78,Female,151-426
108-967-210,73,Male,521-757
844-474-882,69,Female,213-846
510-152-683,89,Male,521-757
666-395-175,67,Female,151-426
386-945-738,33,Male,213-846
503-482-913,61,Female,855-525
303-716-621,69,Male,213-846
139-240-830,60,Female,151-426
567-252-720,83,Male,521-757
727-426-266,68,Female,151-426
444-619-948,83,Female,151-426
406-586-935,20,Female,521-757
789-212-526,57,Male,151-426
585-371-771,47,Male,151-426
591-274-636,66,Male,855-525
132-686-817,32,Male,213-846
551-421-528,37,Female,855-525
520-613-893,78,Male,855-525
631-312-674,59,Female,151-426
485-421-277,76,Female,151-426
462-792-890,51,Female,855-525
352-385-671,56,Male,521-757
889-395-821,44,Female,521-757
591-457-673,53,Female,213-846
687-792-656,66,Female,521-757
891-923-249,55,Male,521-757
831-180-454,74,Female,875-393
319-306-947,86,Female,151-426
812-378-240,31,Male,855-525
151-785-643,46,Male,213-846
202-523-438,78,Male,855-525
105-663-261,70,Female,875-393
766-304-874,54,Female,521-757
761-160-887,29,Male,151-426
856-840-970,22,Male,875-393
957-280-137,68,Female,855-525
866-993-396,22,Male,521-757
681-717-209,60,Female,875-393
756-656-636,81,Male,151-426
579-379-297,32,Female,855-525
848-569-763,50,Male,213-846
854-445-909,55,Male,855-525
725-976-754,69,Female,151-426
435-188-510,30,Male,855-525
588-431-354,18,Female,875-393
341-557-871,52,Female,521-757
696-840-686,19,Female,521-757
809-341-163,33,Female,521-757
263-515-802,82,Female,213-846
754-402-476,46,Male,855-525
589-256-565,65,Female,151-426
582-875-650,45,Male,151-426
994-906-183,85,Female,151-426
820-470-179,90,Male,213-846
948-660-617,43,Male,855-525
435-974-632,74,Male,855-525
834-697-600,29,Female,213-846
564-235-625,71,Female,151-426
159-672-573,57,Male,875-393
360-936-103,45,Male,213-846
533-452-817,26,Male,213-846
583-132-393,70,Male,855-525
884-756-846,71,Female,875-393
559-990-486,66,Male,151-426
236-769-980,62,Male,855-525
650-502-641,34,Male,213-846
874-123-405,77,Female,151-426
488-943-335,49,Female,521-757
258-382-293,32,Male,875-393
729-884-116,48,Male,213-846
203-708-134,75,Male,855-525
858-145-511,74,Male,151-426
322-872-984,25,Male,151-426
396-339-935,58,Female,855-525
409-997-246,84,Male,875-393
407-381-162,89,Male,875-393
669-607-148,62,Female,151-426
426-813-526,70,Male,521-757
485-288-872,86,Female,855-525
969-330-407,36,Female,213-846
675-522-526,89,Male,875-393
348-361-308,60,Male,875-393
967-479-194,86,Male,213-846
374-486-789,23,Male,855-525
923-879-701,89,Male,875-393
313-990-440,56,Male,855-525
294-859-220,79,Male,151-426
820-309-506,48,Female,521-757
489-577-646,63,Female,521-757
468-625-609,77,Male,875-393
879-959-427,44,Female,521-757
523-146-676,46,Male,213-846
367-666-698,71,Female,855-525
300-437-335,66,Male,875-393
663-770-801,61,Female,875-393
840-757-857,80,Female,855-525
850-914-460,39,Male,151-426
600-288-655,25,Male,213-846
937-784-149,18,Female,855-525
962-745-336,26,Male,213-846
323-617-566,65,Male,151-426
753-782-731,79,Female,213-846
106-644-664,70,Male,213-846
642-839-381,86,Female,213-846
614-932-814,73,Male,213-846
198-636-252,48,Male,151-426
639-358-934,63,Female,875-393
180-482-515,76,Male,855-525
407-800-947,28,Male,213-846
515-488-486,88,Female,213-846
752-109-819,39,Male,875-393
965-544-760,60,Male,151-426
143-335-316,90,Female,521-757
147-176-800,53,Male,855-525
970-422-116,44,Male,875-393
178-406-266,90,Male,151-426
954-969-498,87,Female,875-393
873-857-243,28,Female,213-846
200-547-337,27,Female,151-426
887-728-709,68,Female,213-846
749-379-902,75,Female,855-525
464-666-484,73,Male,151-426
776-489-187,55,Male,213-846
184-374-257,66,Male,875-393
424-469-209,29,Male,521-757
555-468-879,52,Male,855-525
189-291-541,75,Female,213-846
126-191-462,88,Male,151-426
712-903-432,67,Male,521-757
523-497-897,28,Male,151-426
633-273-801,66,Male,855-525
375-408-374,81,Male,213-846
271-545-382,71,Female,875-393
901-178-469,50,Male,875-393
708-731-300,76,Male,855-525
411-106-505,60,Female,521-757
550-442-540,35,Female,521-757
717-811-305,79,Female,855-525
507-426-398,80,Male,521-757
485-387-936,68,Female,213-846
677-304-706,87,Male,151-426
127-844-572,44,Female,521-757
951-809-170,70,Female,855-525
748-410-347,50,Male,875-393
908-486-175,75,Female,151-426
510-647-618,71,Male,521-757
818-931-649,28,Male,855-525
773-780-463,39,Male,151-426
760-793-762,69,Female,875-393
208-110-200,51,Male,151-426
864-631-671,46,Female,521-757
500-574-890,82,Male,521-757
125-594-207,55,Female,213-846
218-951-847,36,Female,521-757
451-566-903,44,Female,521-757
587-199-548,75,Female,213-846
407-145-929,32,Male,521-757
763-211-793,39,Male,151-426
278-665-263,60,Female,875-393
337-916-514,41,Male,875-393
505-129-855,43,Female,151-426
539-498-104,45,Male,521-757
870-820-928,26,Male,151-426
291-474-433,43,Female,213-846
368-786-983,80,Female,151-426
497-725-501,32,Female,521-757
965-568-732,40,Female,151-426
704-186-788,35,Female,213-846
344-412-219,41,Female,855-525
623-497-528,35,Female,875-393
290-598-750,86,Male,151-426
270-601-395,35,Male,521-757
962-561-734,24,Female,213-846
596-239-299,67,Female,875-393
801-603-525,74,Female,855-525
184-678-131,46,Female,213-846
381-330-650,54,Male,875-393
679-860-891,81,Male,151-426
216-374-893,87,Female,151-426
942-874-142,74,Male,875-393
204-853-949,49,Female,213-846
560-369-456,29,Female,213-846
894-931-342,44,Female,151-426
747-538-269,35,Male,855-525
924-160-683,62,Female,151-426
651-272-431,55,Female,151-426
373-978-626,30,Male,875-393
160-383-987,34,Male,855-525
249-828-429,49,Female,875-393
245-691-747,52,Female,875-393
562-177-748,29,Female,151-426
867-384-811,65,Female,875-393
435-695-102,29,Female,521-757
970-164-914,86,Female,855-525
539-944-316,81,Female,521-757
948-390-445,88,Male,151-426
972-596-907,61,Male,213-846
201-741-902,76,Male,213-846
978-261-551,76,Male,875-393
307-805-235,56,Male,521-757
195-770-469,50,Male,521-757
780-764-269,24,Female,521-757
843-816-873,47,Female,213-846
820-197-101,45,Female,213-846
235-707-331,84,Female,213-846
108-812-451,33,Female,855-525
589-172-334,67,Male,213-846
205-420-476,56,Male,875-393
892-932-871,35,Male,213-846
643-676-108,39,Female,521-757
839-318-743,37,Female,151-426
803-553-980,45,Male,213-846
243-870-226,67,Female,875-393
422-910-243,49,Female,213-846
354-666-715,54,Male,521-757
310-630-721,83,Male,875-393
402-761-155,48,Female,875-393
215-346-611,27,Male,521-757
424-235-496,90,Female,521-757
659-799-276,78,Male,213-846
701-169-114,51,Male,213-846
161-908-507,82,Female,151-426
885-525-533,69,Male,151-426
650-730-256,53,Male,521-757
180-623-308,37,Female,875-393
700-749-881,26,Female,875-393
847-966-344,25,Male,213-846
544-218-564,25,Female,855-525
222-112-824,35,Male,855-525
608-455-635,84,Female,855-525
480-229-867,52,Male,213-846
443-926-539,52,Male,521-757
829-690-742,27,Female,875-393
623-468-156,81,Male,521-757
261-361-891,31,Male,855-525
858-621-102,23,Male,855-525
147-583-472,67,Male,855-525
978-136-666,71,Male,521-757
354-526-837,58,Female,213-846
685-481-222,82,Male,855-525
328-923-628,23,Female,213-846
998-576-986,54,Female,521-757
188-666-567,19,Female,855-525
398-677-903,56,Male,875-393
477-705-605,43,Male,855-525
106-519-124,47,Female,213-846
443-101-877,66,Female,213-846
310-642-343,71,Female,213-846
245-828-386,29,Male,855-525
965-632-522,65,Female,213-846
694-197-617,35,Female,213-846
706-681-163,73,Male,855-525
398-367-971,58,Female,521-757
425-563-378,47,Male,855-525
239-898-888,31,Male,213-846
268-560-577,58,Female,213-846
648-466-888,44,Female,521-757
574-371-972,33,Male,855-525
926-802-411,23,Male,521-757
251-193-828,49,Female,875-393
625-150-793,56,Female,855-525
131-514-975,75,Male,213-846
573-204-923,35,Male,213-846
163-950-899,46,Male,855-525
943-510-481,28,Female,213-846
122-166-302,74,Male,213-846
967-949-928,60,Male,213-846
572-151-272,73,Female,875-393
130-491-799,72,Male,521-757
319-291-381,53,Female,855-525
135-728-734,49,Female,875-393
521-663-590,25,Male,521-757
492-240-529,43,Male,151-426
913-119-491,63,Female,151-426
900-596-452,90,Female,875-393
376-284-126,58,Male,213-846
930-897-387,25,Female,151-426
466-885-698,47,Male,213-846
353-772-346,52,Male,855-525
689-966-916,67,Female,855-525
280-342-706,58,Female,151-426
128-820-817,63,Male,151-426
292-956-929,81,Female,855-525
602-138-192,25,Male,151-426
324-120-639,79,Male,521-757
728-306-925,34,Female,855-525
921-964-989,59,Male,213-846
251-700-821,36,Male,151-426
981-473-174,65,Female,151-426
203-444-409,59,Male,855-525
849-547-910,80,Female,855-525
824-675-810,63,Male,151-426
934-279-487,57,Female,855-525
281-846-101,68,Male,855-525
716-425-928,46,Male,875-393
244-439-863,27,Male,521-757
427-271-751,29,Female,875-393
111-371-314,49,Male,521-757
362-905-210,18,Male,875-393
548-850-529,39,Female,875-393
487-459-659,66,Male,875-393
907-984-691,46,Male,875-393
175-918-966,22,Female,213-846
426-367-207,27,Female,855-525
484-264-849,27,Male,521-757
708-728-594,21,Female,855-525
721-544-260,24,Male,521-757
310-294-519,88,Female,521-757
404-343-198,24,Female,151-426
662-960-602,37,Male,521-757
103-537-189,55,Female,855-525
199-126-311,39,Female,213-846
584-964-218,57,Female,875-393
600-776-371,29,Female,855-525
479-490-478,41,Female,213-846
369-550-576,51,Male,521-757
677-163-254,30,Male,521-757
927-654-523,47,Male,875-393
938-635-528,86,Female,151-426
341-587-406,28,Female,213-846
614-684-629,36,Male,875-393
277-271-316,42,Male,213-846
533-180-799,73,Male,855-525
954-709-364,58,Male,213-846
497-669-506,88,Female,521-757
632-569-994,19,Female,213-846
524-253-251,90,Male,213-846
676-898-203,54,Female,875-393
370-492-770,80,Female,213-846
276-382-512,36,Female,213-846
505-439-807,48,Male,875-393
375-481-120,61,Female,521-757
387-963-603,30,Male,855-525
407-861-553,59,Female,875-393
719-761-191,42,Female,855-525
943-516-858,80,Female,213-846
627-910-262,26,Female,151-426
513-238-899,85,Male,855-525
297-996-952,43,Male,855-525
133-567-151,64,Male,521-757
477-943-575,82,Female,213-846
797-131-347,65,Female,151-426
556-281-991,78,Female,521-757
267-957-364,29,Female,213-846
495-150-266,45,Male,855-525
793-311-375,70,Male,213-846
585-235-762,40,Male,855-525
358-722-924,57,Female,875-393
485-972-457,76,Female,855-525
577-409-793,84,Female,151-426
204-107-623,65,Female,521-757
800-210-593,26,Female,521-757
755-432-982,53,Female,521-757
292-253-629,48,Male,151-426
513-776-427,35,Male,875-393
402-365-528,69,Female,213-846
697-825-685,42,Female,855-525
802-647-753,78,Female,151-426
407-965-274,89,Male,521-757
199-582-231,51,Male,521-757
770-191-327,63,Male,521-757
530-907-439,65,Female,151-426
401-574-971,33,Female,213-846
987-749-697,27,Female,855-525
612-222-988,66,Female,875-393
155-991-974,37,Male,855-525
450-519-683,76,Male,521-757
983-832-284,28,Female,521-757
746-281-420,25,Male,875-393
380-314-879,39,Male,875-393
904-881-898,29,Male,151-426
544-748-539,69,Female,875-393
492-104-138,86,Male,521-757
114-429-875,85,Male,213-846
792-104-741,49,Male,521-757
419-232-205,67,Female,855-525
166-943-146,56,Female,875-393
845-632-710,85,Female,875-393
803-237-450,80,Female,855-525
268-931-513,20,Male,855-525
844-234-316,20,Male,213-846
475-828-766,22,Female,521-757
889-647-738,24,Male,213-846
769-956-120,24,Male,875-393
554-489-226,88,Female,875-393
818-256-310,19,Female,875-393
777-203-778,84,Female,151-426
720-817-240,71,Male,151-426
836-732-220,54,Male,213-846
609-303-723,43,Female,151-426
306-466-820,70,Female,855-525
140-661-608,44,Female,521-757
340-102-113,29,Male,151-426
785-605-252,29,Male,213-846
362-759-336,76,Female,521-757
575-151-202,40,Male,521-757
468-920-793,58,Female,213-846
197-971-876,23,Male,855-525
779-762-274,60,Female,875-393
736-374-999,29,Female,521-757
287-216-510,69,Female,521-757
955-494-806,79,Female,855-525
215-235-812,25,Male,213-846
526-704-594,90,Female,855-525
725-488-897,63,Male,855-525
594-599-215,70,Female,213-846
164-367-770,58,Male,151-426
885-861-690,90,Male,521-757
631-635-804,30,Female,855-525
593-454-779,67,Male,151-426
727-155-111,38,Female,875-393
990-269-176,80,Female,855-525
438-384-151,82,Male,151-426
758-487-512,48,Male,875-393
554-920-686,75,Male,875-393
557-423-221,81,Male,213-846
513-522-136,89,Male,213-846
910-718-733,56,Male,875-393
449-472-945,24,Male,875-393
439-673-885,78,Female,875-393
216-199-877,46,Male,521-757
463-949-748,55,Female,213-846
146-268-604,35,Female,213-846
360-725-300,42,Male,875-393
320-568-944,42,Female,213-846
875-524-147,33,Female,875-393
774-703-616,35,Female,213-846
643-853-149,88,Female,151-426
594-620-899,40,Male,855-525
206-496-773,59,Female,875-393
723-809-880,49,Female,875-393
451-401-563,35,Male,875-393
716-816-866,83,Female,151-426
981-421-828,88,Male,855-525
314-739-831,55,Female,855-525
827-765-282,82,Female,213-846
879-460-675,79,Female,151-426
392-998-967,72,Male,151-426
209-125-490,36,Male,213-846
304-373-868,38,Female,521-757
249-959-163,55,Male,151-426
133-467-933,75,Male,151-426
988-791-857,89,Male,151-426
498-343-623,54,Male,875-393
496-526-907,58,Male,213-846
861-357-307,74,Male,521-757
873-702-659,43,Male,521-757
559-281-799,27,Male,855-525
852-626-222,66,Male,875-393
385-669-370,34,Male,151-426
966-361-105,60,Female,855-525
140-257-430,24,Female,875-393
908-686-663,63,Male,521-757
638-325-288,84,Male,151-426
263-525-656,86,Female,213-846
457-326-318,60,Female,521-757
400-323-870,85,Female,151-426
943-870-764,19,Male,521-757
556-346-757,49,Male,521-757
490-915-216,67,Female,151-426
841-389-125,84,Female,151-426
922-620-556,80,Male,521-757
767-297-428,83,Male,213-846
271-891-650,86,Male,213-846
315-786-744,45,Female,213-846
310-650-948,73,Male,855-525
124-570-834,60,Male,213-846
175-155-282,50,Male,151-426
941-333-364,70,Female,875-393
745-514-543,58,Male,875-393
789-221-647,18,Male,151-426
146-817-968,27,Female,151-426
208-396-905,56,Male,521-757
883-548-490,68,Male,875-393
260-646-325,35,Female,151-426
402-749-247,56,Female,213-846
666-995-668,36,Male,213-846
105-686-710,68,Male,521-757
315-866-859,62,Male,875-393
761-971-624,36,Male,855-525
326-731-954,50,Male,213-846
285-787-918,90,Male,151-426
572-760-662,27,Female,213-846
356-200-302,80,Female,521-757
231-787-771,48,Male,521-757
734-171-298,58,Female,875-393
436-731-775,57,Male,151-426
680-473-927,58,Female,855-525
104-420-352,46,Female,521-757
960-468-237,60,Female,875-393
556-467-893,57,Female,151-426
211-279-761,28,Female,855-525
651-301-369,27,Male,213-846
969-619-746,21,Female,151-426
317-137-664,51,Female,855-525
474-501-328,55,Male,875-393
613-622-192,68,Female,151-426
110-778-344,39,Male,875-393
263-283-679,90,Male,875-393
467-141-324,80,Male,213-846
370-478-339,23,Male,151-426
910-469-497,78,Female,213-846
140-764-431,31,Female,521-757
692-657-683,40,Female,875-393
474-701-769,27,Female,875-393
328-628-515,63,Female,875-393
911-593-718,18,Male,875-393
269-335-178,83,Female,855-525
253-291-261,64,Male,855-525
524-930-438,32,Female,875-393
590-315-704,38,Female,213-846
349-144-230,38,Male,151-426
140-686-250,25,Male,521-757
284-629-515,90,Male,521-757
187-321-559,78,Female,855-525
324-950-520,36,Male,151-426
775-623-370,39,Female,875-393
710-704-170,47,Female,875-393
235-211-116,43,Female,855-525
720-198-281,78,Male,151-426
615-870-220,29,Female,855-525
717-652-947,18,Female,151-426
530-479-995,23,Female,855-525
921-593-908,66,Female,151-426
923-859-879,30,Female,855-525
360-588-884,47,Male,521-757
712-997-656,70,Female,855-525
105-826-861,18,Male,151-426
107-484-770,44,Female,875-393
470-209-258,72,Female,521-757
975-648-533,90,Female,151-426
382-796-506,44,Female,151-426
902-670-594,40,Female,151-426
668-595-359,57,Female,875-393
853-241-975,33,Male,875-393
901-816-265,30,Male,151-426
510-904-446,88,Male,855-525
498-751-105,29,Male,875-393
714-545-190,26,Female,855-525
479-181-723,22,Female,875-393
728-771-633,54,Male,855-525
755-606-549,19,Male,151-426
392-299-134,83,Male,151-426
273-790-136,64,Male,213-846
