voter_id,voter_age,voter_gender,candidate_id
574-915-770,73,Female,151-426
975-985-358,44,Female,213-846
783-702-548,24,Female,213-846
541-775-288,67,Female,151-426
414-645-333,60,Male,213-846
942-922-825,38,Male,213-846
626-884-522,86,Female,213-846
805-861-944,45,Male,213-846
437-656-921,26,Female,213-846
329-612-550,68,Female,213-846
268-484-386,58,Male,521-757
244-897-731,20,Male,151-426
241-763-534,51,Male,875-393
976-502-282,90,Female,151-426
461-870-690,84,Male,151-426
663-244-808,75,Female,875-393
445-708-201,32,Female,521-757
450-389-370,35,Female,213-846
624-644-405,50,Male,855-525
805-656-932,57,Male,875-393
855-275-634,76,Male,521-757
942-727-522,87,Female,213-846
337-462-108,71,Male,521-757
508-139-436,42,Female,521-757
516-629-790,57,Male,875-393
754-506-152,57,Male,855-525
701-815-602,53,Male,521-757
206-865-779,47,Male,521-757
683-836-632,24,Male,213-846
520-167-367,80,Female,213-846
898-283-410,77,Female,213-846
485-936-294,39,Female,213-846
720-661-246,81,Female,875-393
606-683-387,41,Female,521-757
160-696-668,65,Male,875-393
767-856-646,81,Male,521-757
322-697-131,64,Female,875-393
399-187-184,20,Female,151-426
811-288-456,28,Female,855-525
830-254-343,66,Male,521-757
734-846-198,29,Male,151-426
524-777-375,24,Male,855-525
922-559-433,44,Male,151-426
159-314-629,42,Male,855-525
228-261-863,24,Male,855-525
452-698-399,86,Female,213-846
963-512-164,28,Male,521-757
654-529-489,47,Female,151-426
381-713-330,45,Male,213-846
443-254-286,29,Male,151-426
512-430-305,60,Female,855-525
389-973-825,51,Male,875-393
664-686-176,73,Female,855-525
716-433-359,40,Female,213-846
328-303-894,55,Male,151-426
975-270-519,52,Female,875-393
280-953-800,49,Male,213-846
526-750-951,52,Male,151-426
978-755-976,34,Female,855-525
233-899-840,77,Male,875-393
351-552-736,35,Female,875-393
367-341-230,86,Male,213-846
169-864-188,45,Female,521-757
910-648-791,77,Female,521-757
476-802-501,49,Male,521-757
489-240-328,41,Female,213-846
388-924-466,62,Female,213-846
742-933-954,54,Female,855-525
118-246-561,79,Male,151-426
557-617-823,81,Female,875-393
958-418-820,50,Female,855-525
510-870-281,75,Male,521-757
460-790-774,70,Male,521-757
119-310-107,56,Female,521-757
705-557-634,69,Female,213-846
264-502-953,20,Male,213-846
471-328-438,49,Male,855-525
972-238-641,44,Male,875-393
113-577-927,62,Female,521-757
850-307-708,53,Male,521-757
128-192-412,21,Male,521-757
244-534-835,30,Female,213-846
687-160-646,87,Male,521-757
683-922-540,70,Female,855-525
370-761-901,69,Female,855-525
732-690-493,28,Male,213-846
859-806-870,84,Female,855-525
976-413-277,19,Female,151-426
859-953-367,36,Female,151-426
170-994-849,72,Male,521-757
322-425-233,89,Female,521-757
415-603-785,22,Male,875-393
424-786-186,39,Female,151-426
364-801-622,23,Female,875-393
101-145-996,20,Male,855-525
651-229-633,24,Male,855-525
291-842-553,90,Male,855-525
212-284-297,51,Female,855-525
874-692-321,33,Female,213-846
233-913-976,89,Male,875-393
131-564-251,36,Male,151-426
490-402-309,54,Female,875-393
266-833-294,64,Female,875-393
130-220-668,72,Male,213-846
920-592-890,50,Male,151-426
145-925-471,62,Female,855-525
387-960-853,80,Male,213-846
117-763-943,18,Female,521-757
303-363-757,90,Male,213-846
602-945-414,71,Female,521-757
204-773-735,90,Male,875-393
198-254-573,54,Female,855-525
187-603-221,32,Male,521-757
237-683-819,26,Male,855-525
733-123-582,47,Male,521-757
843-258-243,64,Female,855-525
758-385-145,28,Male,151-426
853-402-859,35,Female,521-757
303-607-720,79,Male,875-393
614-213-248,57,Female,521-757
377-995-872,41,Male,151-426
863-911-820,77,Male,521-757
954-991-194,54,Female,855-525
622-258-723,73,Male,213-846
814-808-536,37,Male,521-757
798-476-534,30,Male,151-426
185-718-507,36,Female,855-525
699-639-494,86,Female,875-393
212-908-395,62,Female,875-393
936-386-914,21,Female,213-846
304-670-805,70,Female,875-393
223-240-811,73,Female,521-757
862-820-139,68,Female,151-426
302-275-947,78,Female,521-757
893-199-245,61,Male,875-393
800-558-229,86,Male,875-393
624-782-154,87,Female,213-846
260-994-538,29,Male,151-426
896-643-951,75,Female,855-525
474-958-760,23,Male,521-757
538-260-133,18,Male,521-757
321-312-137,86,Male,213-846
247-826-599,24,Male,855-525
585-602-748,78,Female,213-846
418-432-507,24,Female,151-426
630-786-967,37,Female,521-757
251-155-342,29,Male,521-757
990-600-872,90,Female,855-525
243-714-934,62,Female,521-757
789-535-458,45,Female,875-393
659-358-975,43,Female,855-525
340-991-173,52,Female,855-525
580-810-235,24,Male,521-757
480-113-303,24,Female,213-846
462-721-869,81,Male,213-846
932-555-134,47,Male,151-426
669-237-795,57,Male,875-393
767-404-846,41,Female,213-846
976-779-674,87,Male,213-846
258-158-966,67,Male,151-426
411-804-164,52,Female,855-525
701-439-583,52,Female,875-393
539-123-379,49,Male,875-393
748-118-523,59,Male,875-393
305-835-974,52,Male,521-757
302-556-124,35,Male,151-426
864-194-518,39,Female,521-757
241-367-834,18,Male,855-525
545-589-400,37,Female,875-393
479-370-432,69,Male,213-846
951-204-383,86,Male,875-393
938-984-519,64,Male,151-426
279-593-746,36,Female,521-757
489-927-530,82,Female,151-426
116-105-755,44,Female,875-393
544-335-871,36,Female,521-757
885-379-584,87,Male,875-393
138-783-806,44,Female,213-846
805-723-573,47,Male,521-757
394-531-550,52,Male,151-426
418-140-464,90,Male,521-757
108-210-511,81,Female,875-393
611-547-852,24,Male,151-426
934-410-737,64,Female,875-393
438-525-312,75,Female,213-846
687-467-161,48,Female,213-846
920-607-826,62,Female,213-846
924-273-964,59,Female,855-525
384-707-483,19,Male,151-426
853-798-519,76,Female,875-393
601-135-363,48,Female,875-393
554-554-558,82,Female,875-393
171-871-925,58,Male,855-525
906-342-966,49,Female,855-525
843-633-626,85,Female,521-757
151-798-270,79,Female,875-393
834-589-400,80,Female,213-846
522-591-469,44,Female,875-393
477-933-167,88,Male,151-426
762-531-296,22,Male,521-757
894-239-393,34,Male,855-525
152-411-118,69,Female,855-525
246-785-512,69,Female,151-426
944-355-800,68,Female,151-426
417-813-679,50,Male,521-757
276-928-756,72,Male,151-426
853-862-924,83,Male,213-846
585-650-453,29,Male,521-757
233-782-228,69,Female,875-393
769-264-551,82,Male,875-393
968-943-381,21,Female,875-393
708-828-250,47,Male,855-525
245-631-770,37,Male,521-757
384-480-465,37,Female,875-393
726-641-659,90,Male,213-846
920-430-891,51,Male,875-393
160-484-897,67,Female,855-525
987-992-393,41,Male,875-393
799-324-812,59,Male,855-525
121-715-685,22,Male,855-525
150-217-657,28,Male,213-846
158-262-474,19,Female,213-846
149-695-180,28,Male,151-426
665-747-730,83,Male,213-846
421-666-521,77,Female,521-757
567-771-270,31,Female,151-426
288-853-938,58,Male,875-393
930-895-459,62,Female,521-757
163-475-202,19,Female,875-393
122-434-760,82,Male,855-525
809-790-352,65,Female,855-525
606-924-704,45,Female,875-393
326-268-174,83,Male,855-525
286-668-220,51,Female,521-757
493-295-522,61,Female,521-757
511-380-293,63,Male,213-846
217-219-340,37,Female,213-846
246-461-877,63,Female,213-846
276-879-414,84,Female,521-757
493-432-903,39,Female,521-757
432-425-548,18,Female,151-426
665-963-715,74,Female,213-846
573-608-996,31,Female,151-426
587-223-685,85,Female,521-757
227-273-866,90,Male,151-426
453-388-764,86,Female,213-846
272-994-476,55,Male,521-757
988-582-153,78,Male,213-846
441-478-907,40,Male,521-757
689-881-909,37,Male,855-525
984-850-228,19,Female,151-426
741-545-935,88,Male,855-525
431-200-940,52,Female,213-846
166-500-684,38,Male,213-846
550-817-272,88,Female,213-846
857-147-562,55,Female,855-525
839-439-764,47,Female,151-426
383-736-340,84,Male,855-525
863-836-624,34,Female,855-525
693-790-856,52,Male,855-525
816-214-142,78,Female,875-393
109-303-446,24,Male,855-525
795-245-522,60,Male,521-757
242-346-807,52,Female,151-426
289-309-603,85,Male,875-393
629-862-859,41,Female,151-426
869-136-515,24,Female,521-757
402-145-725,56,Female,875-393
899-551-973,85,Male,213-846
277-267-257,63,Male,521-757
888-491-360,68,Male,875-393
355-140-111,37,Male,875-393
335-693-368,88,Male,855-525
437-828-579,24,Male,151-426
816-656-497,31,Male,151-426
660-241-693,77,Male,213-846
255-618-603,40,Male,151-426
481-515-526,85,Male,875-393
418-145-139,21,Female,213-846
287-568-624,57,Male,521-757
804-537-444,80,Male,521-757
352-195-802,82,Male,521-757
867-560-828,60,Female,213-846
194-843-792,65,Female,151-426
306-367-568,44,Male,213-846
860-549-770,27,Female,875-393
365-124-868,50,Female,521-757
453-565-243,67,Female,213-846
323-535-859,80,Male,875-393
332-296-524,50,Female,151-426
804-224-555,52,Female,521-757
195-624-281,79,Female,151-426
399-363-509,57,Female,855-525
329-344-364,29,Male,151-426
442-785-545,49,Male,855-525
677-464-518,26,Female,151-426
543-343-245,25,Female,213-846
980-375-510,49,Male,213-846
492-219-442,66,Female,521-757
774-334-153,63,Male,875-393
772-810-318,86,Male,521-757
498-862-656,41,Male,855-525
772-350-933,69,Male,213-846
688-696-465,56,Female,213-846
646-423-889,31,Female,875-393
759-759-142,80,Male,855-525
847-525-221,42,Male,151-426
850-943-438,68,Male,855-525
177-310-381,84,Female,855-525
812-389-120,34,Male,521-757
897-326-346,81,Male,855-525
566-285-481,30,Male,151-426
416-674-490,52,Male,521-757
558-393-495,30,Female,521-757
471-694-604,20,Female,151-426
552-555-632,75,Male,855-525
535-438-765,26,Male,213-846
654-777-202,62,Female,521-757
372-474-492,35,Male,855-525
731-324-890,85,Male,213-846
149-643-853,31,Female,875-393
199-521-485,52,Female,151-426
325-316-119,59,Male,521-757
777-441-976,21,Male,151-426
646-959-333,33,Male,855-525
900-811-987,74,Female,151-426
280-763-225,30,Female,213-846
661-218-942,46,Female,521-757
784-523-620,52,Male,521-757
848-928-222,39,Female,521-757
758-739-398,83,Male,875-393
679-710-466,41,Male,875-393
570-817-437,60,Male,521-757
102-645-750,29,Male,521-757
593-913-486,46,Male,855-525
989-342-337,82,Female,151-426
992-994-750,58,Female,151-426
917-126-741,87,Female,151-426
160-584-586,53,Female,875-393
257-309-510,83,Male,875-393
672-465-373,39,Male,855-525
100-413-484,52,Female,855-525
864-210-280,35,Female,521-757
263-141-552,57,Male,521-757
811-461-537,41,Male,213-846
259-262-827,64,Male,521-757
764-253-155,79,Male,213-846
182-227-843,30,Male,855-525
365-524-733,90,Female,855-525
831-744-817,44,Female,855-525
966-284-164,82,Female,875-393
342-722-357,65,Female,213-846
959-555-753,52,Male,875-393
411-429-148,76,Female,875-393
884-353-453,57,Male,521-757
735-331-635,39,Male,521-757
722-348-604,27,Female,521-757
788-416-872,39,Male,213-846
100-468-772,59,Male,875-393
750-987-745,47,Male,151-426
855-912-897,82,Female,521-757
172-634-424,44,Male,151-426
917-611-254,59,Male,151-426
422-111-134,73,Male,855-525
777-291-517,74,Male,151-426
199-639-949,36,Male,151-426
965-652-110,50,Male,213-846
575-665-909,69,Male,875-393
960-173-608,72,Male,875-393
347-545-600,30,Male,151-426
720-271-886,26,Female,855-525
462-720-901,82,Male,875-393
325-543-181,70,Female,213-846
408-784-458,80,Male,151-426
633-773-765,70,Female,521-757
907-520-852,22,Female,151-426
463-316-552,68,Female,151-426
883-669-773,28,Male,855-525
470-544-841,63,Male,521-757
749-771-182,19,Male,875-393
925-133-881,57,Male,521-757
820-815-489,84,Female,521-757
835-190-164,44,Female,521-757
949-233-103,47,Male,213-846
315-321-268,86,Male,213-846
170-437-816,61,Male,521-757
989-703-309,28,Female,855-525
896-490-514,56,Female,875-393
892-662-780,34,Female,151-426
645-484-210,39,Male,521-757
112-236-659,20,Male,151-426
528-984-593,21,Male,875-393
773-863-448,55,Female,855-525
281-709-492,62,Female,213-846
634-551-321,73,Female,855-525
659-896-857,26,Female,521-757
459-781-742,80,Female,521-757
693-130-152,18,Female,521-757
915-310-876,33,Female,875-393
695-890-193,43,Female,151-426
513-742-496,47,Female,875-393
732-659-744,74,Female,855-525
923-362-303,78,Male,855-525
630-871-800,84,Male,875-393
265-797-571,83,Female,151-426
293-109-180,56,Male,875-393
953-386-978,70,Male,855-525
835-583-548,38,Female,521-757
579-252-339,71,Male,875-393
840-601-408,53,Male,151-426
106-426-527,19,Female,855-525
601-843-115,51,Female,855-525
765-223-881,80,Female,521-757
462-883-940,59,Male,855-525
903-443-135,32,Male,521-757
160-111-341,58,Female,855-525
697-233-323,45,Male,213-846
889-719-258,75,Male,855-525
792-571-556,79,Female,151-426
300-317-935,64,Male,875-393
807-301-501,90,Male,151-426
374-938-306,84,Female,855-525
928-293-404,78,Female,855-525
676-294-817,71,Male,213-846
552-861-495,84,Male,875-393
151-204-412,41,Male,151-426
543-785-216,89,Male,855-525
929-365-689,80,Female,151-426
354-437-691,62,Female,213-846
719-771-168,81,Female,213-846
758-973-191,61,Female,521-757
376-312-888,25,Male,213-846
909-322-430,51,Female,213-846
927-317-479,62,Male,151-426
224-382-539,61,Female,855-525
714-669-649,41,Female,521-757
244-243-412,80,Male,875-393
468-894-380,56,Female,213-846
515-131-681,82,Male,213-846
453-690-689,82,Female,855-525
944-224-664,77,Female,151-426
767-171-807,26,Female,521-757
471-490-325,61,Male,875-393
465-729-956,84,Male,213-846
720-558-788,66,Male,875-393
845-921-209,86,Male,213-846
626-104-522,69,Male,855-525
538-101-702,52,Female,855-525
876-269-688,48,Male,151-426
894-552-939,29,Male,151-426
117-380-661,27,Male,875-393
286-110-121,55,Male,875-393
584-506-984,64,Male,213-846
655-216-403,37,Male,875-393
853-691-575,90,Female,855-525
607-592-257,31,Female,151-426
725-692-264,68,Female,151-426
798-541-248,60,Male,855-525
231-279-496,20,Female,521-757
802-650-885,56,Female,151-426
152-563-845,67,Female,875-393
786-382-963,43,Male,875-393
904-201-491,68,Female,213-846
950-921-115,78,Male,213-846
548-165-560,25,Female,151-426
849-158-520,66,Female,521-757
983-904-876,34,Male,151-426
903-431-540,85,Male,875-393
707-804-153,85,Female,521-757
622-500-744,25,Male,151-426
704-313-309,59,Male,521-757
468-356-246,52,Female,213-846
319-133-712,71,Female,151-426
265-277-290,46,Female,213-846
171-537-407,69,Male,151-426
578-447-111,33,Male,521-757
710-654-391,19,Male,521-757
173-377-529,19,Female,521-757
167-387-491,66,Male,151-426
651-186-116,53,Male,151-426
438-941-383,74,Male,213-846
298-666-462,65,Male,875-393
885-239-229,66,Male,875-393
537-108-370,78,Male,151-426
756-667-289,57,Female,875-393
371-536-173,82,Male,151-426
170-175-762,21,Male,521-757
578-936-408,29,Male,151-426
734-446-520,90,Female,855-525
344-843-875,76,Female,875-393
181-555-126,44,Male,213-846
201-977-438,68,Female,521-757
690-119-266,81,Male,875-393
621-976-264,77,Female,855-525
879-863-190,80,Male,855-525
404-535-451,68,Male,213-846
763-142-647,78,Male,875-393
811-189-777,69,Male,855-525
269-340-948,48,Male,151-426
906-728-767,81,Male,213-846
925-377-373,54,Female,875-393
245-378-429,76,Female,875-393
755-290-845,79,Male,875-393
220-274-974,38,Male,151-426
755-138-246,46,Male,855-525
378-777-163,41,Female,213-846
532-167-943,18,Male,875-393
656-154-405,86,Male,151-426
918-427-306,44,Female,151-426
423-778-603,27,Female,213-846
518-501-556,83,Male,213-846
636-450-750,29,Female,855-525
403-170-884,52,Female,213-846
868-737-250,73,Male,151-426
559-364-478,84,Female,875-393
995-965-526,48,Female,875-393
257-334-144,23,Male,151-426
376-931-777,31,Female,875-393
113-609-812,60,Male,521-757
891-405-972,55,Male,151-426
646-109-585,76,Male,213-846
987-161-146,74,Male,875-393
486-328-246,48,Female,213-846
439-568-154,81,Female,875-393
110-364-391,72,Male,521-757
908-985-508,72,Male,855-525
677-599-674,44,Male,151-426
392-670-964,88,Male,875-393
740-511-989,43,Female,855-525
772-817-276,79,Female,521-757
272-472-295,76,Female,213-846
941-949-567,26,Male,151-426
270-429-555,90,Male,855-525
184-231-958,24,Male,151-426
452-785-762,67,Female,213-846
634-827-665,41,Female,521-757
718-181-373,48,Female,213-846
309-201-649,44,Male,521-757
830-753-179,64,Male,855-525
709-321-970,87,Female,213-846
117-458-818,86,Female,213-846
813-187-598,33,Male,855-525
910-824-645,23,Male,151-426
745-775-436,78,Female,855-525
555-519-641,50,Male,855-525
637-175-145,65,Female,213-846
988-783-989,86,Male,151-426
843-715-779,87,Female,521-757
565-212-944,75,Female,213-846
347-219-493,77,Male,213-846
937-881-268,27,Male,151-426
143-290-932,30,Female,213-846
253-890-892,43,Male,521-757
103-128-731,63,Female,855-525
988-520-602,30,Male,521-757
568-767-156,30,Female,213-846
123-539-486,22,Female,213-846
976-235-430,83,Female,521-757
662-132-242,69,Female,151-426
752-413-526,79,Female,213-846
699-660-726,46,Male,855-525
733-282-319,60,Male,521-757
980-471-745,55,Female,855-525
276-652-614,20,Male,213-846
739-790-341,20,Male,151-426
822-479-397,25,Female,855-525
393-936-857,47,Male,875-393
115-377-592,73,Male,521-757
679-252-969,80,Male,213-846
541-263-522,37,Female,875-393
258-304-217,59,Male,213-846
874-266-621,86,Male,213-846
510-695-383,20,Male,213-846
975-434-940,19,Female,213-846
657-539-314,63,Male,151-426
554-532-970,55,Female,213-846
408-174-944,48,Male,213-846
498-500-211,56,Male,151-426
532-202-285,53,Female,521-757
993-884-400,40,Female,875-393
990-767-192,22,Male,151-426
210-663-452,31,Male,151-426
882-722-171,87,Male,521-757
672-167-657,67,Male,875-393
972-505-595,75,Female,855-525
764-817-443,18,Male,151-426
329-175-143,28,Male,521-757
587-685-137,72,Male,151-426
298-635-679,36,Female,151-426
988-188-660,70,Female,213-846
768-639-767,51,Male,875-393
663-385-479,31,Male,151-426
316-555-979,39,Male,521-757
970-825-442,37,Male,213-846
823-550-822,74,Male,151-426
992-871-704,46,Male,855-525
915-432-354,43,Male,521-757
219-575-848,23,Female,521-757
809-990-752,20,Female,213-846
323-351-270,43,Male,151-426
293-750-466,56,Female,151-426
286-812-242,47,Male,151-426
385-177-748,22,Female,875-393
281-691-986,68,Male,521-757
230-455-781,84,Female,875-393
487-527-851,19,Male,213-846
450-719-612,41,Male,151-426
459-853-422,73,Female,213-846
908-301-415,52,Female,213-846
650-236-546,43,Female,855-525
843-835-648,27,Female,855-525
738-857-944,55,Male,855-525
805-414-267,27,Male,151-426
325-644-734,61,Female,213-846
482-765-167,22,Male,521-757
147-962-557,81,Female,521-757
173-963-405,49,Male,875-393
781-720-173,66,Male,875-393
648-591-325,29,Female,213-846
851-430-418,48,Female,151-426
819-708-637,25,Female,151-426
675-145-630,44,Female,151-426
448-295-535,56,Male,875-393
831-997-455,63,Female,875-393
419-591-729,41,Male,855-525
516-146-617,64,Female,521-757
553-908-856,28,Male,213-846
442-245-985,47,Male,855-525
768-809-306,90,Male,875-393
668-991-939,59,Male,521-757
484-780-785,68,Male,213-846
175-630-431,77,Female,855-525
792-375-169,40,Female,213-846
542-766-692,38,Male,151-426
676-770-697,43,Female,151-426
186-486-366,22,Male,521-757
781-731-585,42,Male,855-525
489-964-817,22,Female,855-525
589-710-500,23,Female,875-393
193-815-163,54,Male,151-426
180-950-264,64,Female,521-757
921-736-174,81,Male,875-393
146-143-402,36,Male,521-757
619-649-933,58,Female,213-846
773-837-434,61,Male,521-757
373-677-672,30,Male,151-426
609-871-736,21,Female,521-757
773-854-497,68,Female,213-846
590-823-788,83,Male,213-846
194-540-694,38,Male,875-393
857-977-266,18,Male,151-426
235-708-562,49,Male,875-393
202-469-171,54,Female,855-525
329-683-494,35,Male,855-525
747-564-793,86,Female,213-846
865-392-206,47,Male,213-846
241-685-172,27,Female,521-757
733-125-248,48,Male,151-426
929-487-880,79,Male,213-846
961-160-549,64,Male,521-757
721-716-836,58,Male,151-426
137-913-413,44,Female,875-393
234-300-301,68,Female,875-393
312-753-604,65,Male,213-846
507-619-817,71,Male,855-525
719-895-144,76,Female,151-426
541-346-797,39,Female,151-426
391-971-593,56,Female,875-393
244-745-135,82,Male,521-757
220-905-930,43,Male,151-426
530-145-197,24,Male,521-757
916-362-465,27,Male,521-757
